GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0000122:negative regulation of transcription by RNA polymerase II,"ACVR2B, ALX1, AR, ARID4A, ARID4B, ARID5A, ARID5B, ARX, ASCL1, ASCL3, ATF3, ATF4, BACH1, BACH2, BARX2, BATF3, BCL11A, BCL6, BCL6B, BHLHE41, BMP2, CALR, CAV1, CD36, CDX2, CDX4, CEBPA, CEBPB, CNOT1, CREB3L1, CREM, CTCF, CTNNB1, CUX1, CUX2, DDIT3, DEAF1, DLL4, DLX1, DLX2, DLX4, DMBX1, DMRT1, DNAJB4, E2F1, E2F6, E2F7, E2F8, E4F1, EDNRB, EFNA1, EGR1, ELANE, ELK3, ELK4, EN1, EOMES, EPO, ERF, ESR1, ESR2, ESX1, ETS2, ETV3, ETV5, ETV6, ETV7, EZR, FASLG, FERD3L, FEZF1, FEZF2, FGFR1, FGFR2, FOSB, FOXA1, FOXC1, FOXC2, FOXD3, FOXE1, FOXF1, FOXG1, FOXH1, FOXJ1, FOXK1, FOXK2, FOXL2, FOXM1, FOXO1, FOXO3, FOXP1, FOXP2, FOXP3, FOXP4, FOXQ1, FOXR1, FOXS1, GABPA, GATA1, GATA2, GATA3, GATA4, GATA5, GATA6, GATAD2A, GATAD2B, GFI1, GFI1B, GLI2, GLI3, GLIS1, GLIS2, GLIS3, GSC, GZF1, HAND1, HCFC1, HELT, HES1, HES2, HES5, HES6, HES7, HESX1, HEY1, HEY2, HEYL, HHEX, HIC1, HIC2, HINFP, HIVEP1, HMBOX1, HMG20A, HMGA2, HMX1, HNF1B, HNRNPU, HOPX, HOXA2, HOXA7, HOXB13, HOXB3, HOXB4, HOXB8, HOXC8, HOXD8, HOXD9, HSF1, HSF4, ID1, ID2, ID3, ID4, IFI27, IKZF5, INSM1, INSM2, IRF2, IRF3, IRF7, IRF8, IRX1, IRX2, IRX3, IRX4, ISL1, JDP2, JPH2, JUN, JUND, KLF10, KLF11, KLF12, KLF16, KLF2, KLF3, KLF4, KLF5, KLF7, KLF8, LEF1, LOXL2, LRRFIP1, LYAR, MAEL, MAF, MAFB, MAFF, MAFG, MAFK, MAGEA1, MAGEA12, MAGEA2, MAGEA2B, MAGEA3, MAGEA4, MAGEA6, MAGEA8, MAGEA9, MAGEA9B, MAGEB5, MAGEB6, MAGEC2, MAGED1, MAX, MAZ, MEF2A, MEF2C, MEIS2, MIER1, MIER2, MITF, MLX, MLXIPL, MMP12, MNT, MNX1, MOSPD1, MSC, MSX1, MSX2, MTA1, MTA2, MTA3, MTDH, MXD1, MXD3, MXD4, MXI1, MYB, MYC, MYT1L, MZF1, NANOG, NCOA2, NEUROG3, NFATC2, NFATC3, NFATC4, NFE2L3, NFIC, NFIL3, NFIX, NFKB1, NFX1, NOTCH1, NOTCH2, NOTCH3, NOTCH4, NPAS1, NR0B1, NR0B2, NR1D1, NR1D2, NR1H2, NR1H3, NR1H4, NR1I2, NR1I3, NR2C1, NR2C2, NR2E1, NR2E3, NR2F1, NR2F2, NR2F6, NR3C1, NR4A2, NR4A3, NR6A1, OGT, OLIG2, OLIG3, OSR1, OSR2, OTP, OVOL1, OVOL2, PATZ1, PAX5, PAX6, PDX1, PEG3, PLAGL1, POU1F1, POU4F1, POU4F2, POU5F1, POU6F1, PPARA, PPARD, PPARG, PPP1R13L, PROP1, PROX1, PRRX1, PSEN1, PTCH1, PTPN2, PURA, PURB, RARA, RARB, RARG, RBPJ, RELA, REST, RFX5, RORC, RREB1, RUNX1, RUNX3, RXRA, SALL1, SALL4, SATB1, SATB2, SCRT1, SCRT2, SEMA4D, SHH, SHOX2, SIM2, SIX1, SMAD3, SMAD4, SMAD5, SMAD7, SMO, SNAI1, SNAI2, SNAI3, SNCA, SOX1, SOX10, SOX11, SOX12, SOX13, SOX14, SOX15, SOX18, SOX2, SOX21, SOX3, SOX30, SOX4, SOX8, SOX9, SP2, SP3, SP5, SPDEF, SPI1, SREBF1, SREBF2, SRY, SSX1, STAT1, STAT3, STAT6, TAL1, TBX15, TBX18, TBX2, TBX20, TBX21, TBX22, TBX3, TBX6, TCF21, TCF23, TCF25, TCF3, TCF7L2, TCFL5, TENM2, TFAP2A, TFAP2B, TFAP2C, TFCP2L1, TFEC, TGFB1, TGIF1, TGIF2, THAP1, THAP11, THAP5, THAP7, THRA, THRB, TMPRSS6, TNF, TNFSF11, TP53, TP63, TRPS1, TRPV1, TRPV4, TSC22D4, TWIST1, VAX1, VAX2, VDR, VSX2, WFS1, WT1, WWC1, YBX1, YBX3, ZBED2, ZBED6, ZBTB1, ZBTB12, ZBTB14, ZBTB16, ZBTB17, ZBTB18, ZBTB2, ZBTB20, ZBTB21, ZBTB25, ZBTB26, ZBTB32, ZBTB33, ZBTB34, ZBTB37, ZBTB39, ZBTB42, ZBTB45, ZBTB46, ZBTB49, ZBTB5, ZBTB6, ZBTB7A, ZBTB7B, ZC3H8, ZEB1, ZEB2, ZFHX3, ZFP90, ZFPM1, ZFPM2, ZGLP1, ZGPAT, ZHX1, ZHX2, ZKSCAN3, ZNF131, ZNF133, ZNF134, ZNF136, ZNF140, ZNF141, ZNF148, ZNF174, ZNF175, ZNF177, ZNF202, ZNF205, ZNF217, ZNF219, ZNF224, ZNF239, ZNF254, ZNF263, ZNF268, ZNF274, ZNF281, ZNF296, ZNF304, ZNF345, ZNF350, ZNF354B, ZNF354C, ZNF366, ZNF431, ZNF469, ZNF512B, ZNF536, ZNF568, ZNF572, ZNF653, ZNF668, ZNF675, ZNF692, ZNF746, ZNF8, ZNF85, ZNF91, ZNF93",-0.33196306336782455,-0.3388584789975634,-0.15004559554686592,0.09965804848338393,0.09704427059072454,0.1867135761545937,0.14799824476961243,0.1334772626340508,0.32007057185888393
GO:0000123:histone acetyltransferase complex,"HCFC1, OGT",0.7313864170027805,0.25434913748537447,0.06500316974109205,0.0772964623349745,0.0008603592904942,0.0007556465370419941,0.152104366020207,0.00227903030428645,0.005282706882661204
GO:0000124:SAGA complex,TADA2A,0.610347505664618,0.844445192576605,0.398242090753219,2.84959471054015e-06,1.58386561850142e-16,0.0351948769723613,1.43568605050547e-05,1.3313781030999201e-15,0.132935723636742
GO:0000132:establishment of mitotic spindle orientation,"DCTN1, GJA1, ITGB1, MAPRE1, PAX6, PKHD1",-0.8346576516984803,-0.6548959488315103,-0.7726691260577404,1.456784870344153e-05,1.7781975316361444e-06,0.012638162466533475,5.9711847458021935e-05,6.1315610545639844e-06,0.04907907906860529
GO:0000137:Golgi cis cisterna,"GOLT1A, SMPD3, TMEM59",-1.0249937208678734,-0.6374269050660166,-0.3310213233870299,8.8117422953201e-09,5.291416223272802e-20,0.004094132621351806,5.975164778564002e-08,5.481392218970893e-19,0.021128192364355633
GO:0000138:Golgi trans cisterna,"B4GALT1, SGMS1, TMEM59, YIPF1, YIPF2, YIPF6",-1.0821336755024709,-0.8222550417030553,-0.5704567382108107,0.12536437558553096,0.04371140569620562,0.09567093986647941,0.16717627900098728,0.07393078974382195,0.17982665846596158
GO:0000139:Golgi membrane,"A4GALT, A4GNT, ABCA12, ABCA5, ABCA6, ABCA7, ABCB11, ABCB6, ABCG1, ABO, ACER3, ADAM10, ADAM17, AGPAT3, AGTRAP, AP3D1, APH1A, APH1B, ATF6, ATF6B, ATG9A, ATG9B, ATP2C1, ATP2C2, ATP6AP1, ATP6AP2, ATP6V0A2, ATP6V0B, ATP6V0C, ATP7B, ATP8A2, B2M, B3GALNT2, B3GALT1, B3GALT2, B3GALT6, B3GAT3, B3GNT2, B3GNT3, B3GNT5, B4GALNT1, B4GALNT2, B4GALT1, B4GALT3, B4GALT5, B4GALT6, B4GALT7, BCAP31, BET1, BET1L, BSG, C6orf89, CASD1, CAV1, CAV2, CAV3, CD1E, CD55, CD59, CD74, CHST1, CHST10, CHST11, CHST12, CHST15, CHST2, CHST3, CHST7, CHSY3, CLCC1, CLCN3, CLCN5, CLN3, CLSTN1, CLSTN2, CLSTN3, CNIH1, CREB3, CREB3L3, CREB3L4, CSGALNACT1, CSPG5, CYTH1, DHCR24, DRD2, DSE, ECE2, EGFR, EMP2, ENTPD4, ENTPD6, ERGIC3, EXT1, EXT2, FAM20B, FKRP, FKTN, FNDC3A, FOLR1, FURIN, FUT1, FUT2, FUT4, FUT5, FUT6, FUT8, FUT9, FZD5, GAL3ST1, GALNT1, GALNT10, GALNT11, GALNT12, GALNT13, GALNT14, GALNT16, GALNT18, GALNT3, GALNT5, GALNT6, GALNT8, GALNT9, GBA2, GCNT1, GCNT2, GIMAP1, GJA1, GLCE, GLG1, GNPTAB, GOLGB1, GOLIM4, GOLT1A, GOLT1B, GOSR1, GOSR2, GPER1, GPR108, GPR89A, GRM6, HAS2, HAS3, HHAT, HLA-A, HLA-B, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DQB2, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, HS3ST3B1, HS6ST1, HUWE1, HYAL2, IER3IP1, IFNGR2, IGF2R, IHH, IL15RA, IL17RD, ITM2B, KDELR1, KDELR2, KDELR3, KIAA0319L, LDLRAD4, LEPROT, LFNG, LITAF, LMAN1, LMAN1L, LMAN2, LMTK3, LPCAT1, LPCAT2, LST1, MALL, MAN1A1, MAN1A2, MAN1C1, MAN2A1, MANEA, MBTPS2, MGAT1, MGAT4B, MGAT5, MGAT5B, MMD2, MOSPD1, MPHOSPH9, MR1, NCAM1, NCSTN, NDFIP1, NDFIP2, NDST1, NDST2, NIPAL1, NOS3, NOTCH1, NOTCH2, NOTCH3, NOTCH4, OTOF, PANX2, PAQR3, PARM1, PCSK5, PCSK7, PDGFC, PDGFD, PGAP2, PGAP3, PKD1, PLD3, PMEPA1, POMGNT1, PROS1, PSEN1, PSEN2, PSENEN, QPCTL, QSOX1, QSOX2, RAB14, RAB33A, RER1, RFNG, RHBDF1, RHEB, RHO, RIC3, RNASEK, RNF121, RNF175, RNF24, RTN1, SAMD8, SCAMP5, SCAP, SCARA3, SCARB2, SEC22B, SERINC3, SGMS1, SGMS2, SHH, SLC16A13, SLC2A1, SLC30A10, SLC30A5, SLC30A7, SLC33A1, SLC35A1, SLC35A2, SLC35A3, SLC35A5, SLC35B3, SLC35B4, SLC35C1, SLC35D2, SLC39A13, SLC9A7, SMPD3, SMPD4, SORL1, SPPL2B, SREBF1, SREBF2, ST3GAL1, ST3GAL2, ST3GAL3, ST3GAL4, ST3GAL5, ST3GAL6, ST6GAL2, ST6GALNAC3, ST6GALNAC6, ST8SIA1, ST8SIA5, STEAP2, STEAP4, STX10, STX16, STX18, STX5, STX6, SURF4, SYS1, SYT4, TAPBP, TAPBPL, TEX261, TLR3, TLR7, TLR8, TMBIM4, TMCO1, TMED10, TMED2, TMED3, TMED7, TMED9, TMEM115, TMEM130, TMEM132A, TMEM165, TMEM167B, TMEM50B, TMEM59, TMEM59L, TMEM87A, TMEM87B, TNFRSF1A, TRAF3IP3, UBIAD1, UGCG, UNC50, UNC93B1, UST, VAMP4, VAPA, VPS13B, VTI1A, WLS, YIF1A, YIF1B, YIPF6, ZDHHC11, ZDHHC12, ZDHHC13, ZDHHC15, ZDHHC17, ZDHHC18, ZDHHC2, ZDHHC20, ZDHHC21, ZDHHC22, ZDHHC23, ZDHHC3, ZDHHC4, ZDHHC7, ZDHHC8",-0.5542351402854755,-0.44926834100324325,-0.3234168319942875,0.0834172889473449,0.10689898740691414,0.2098665810754245,0.13173469901151466,0.14406240229994163,0.35762509815543075
GO:0000140:acylglycerone-phosphate reductase activity,DHRS7B,-0.738639796993327,-0.579037397304623,-0.412772625851381,1.62662303596717e-06,1.67506092300974e-08,0.164854281184849,8.45810615187366e-06,7.60960925788239e-08,0.433126899591227
GO:0000146:microfilament motor activity,"MYH9, MYO1C",-0.774326808491193,-0.8463607826859929,-0.8489631453578652,0.01000195773227636,6.756170598328606e-09,0.0237394370270874,0.02635793036181714,3.144296582661721e-08,0.09430052800004123
GO:0000149:SNARE binding,"GOSR2, GRIK2, KCNB1, SNCA, STX10, STX16, STX17, STX1A, STX1B, STX2, STX3, STX4, STX5, STX6, STX7, SYT1, SYT10, SYT11, SYT12, SYT13, SYT2, SYT3, SYT4, SYT5, SYT6, SYT7, SYT8, SYT9, VAMP2, VTI1A, VTI1B",-0.49046314740006647,0.05736708473097116,0.2740970321084684,0.13079262079455495,0.1352704423956609,0.1846617538149468,0.20812209376454324,0.1772535830044425,0.35981076561374586
GO:0000151:ubiquitin ligase complex,"AMFR, GPR37, MAVS, RNF144A, RNF144B, RNF19A, RNF19B, RNF217, UBR2, UBXN8, WWP1",-1.3097005939524506,-1.1082329954665167,-0.773920135552102,0.003313467947665813,0.032026088177203794,0.1426231179852766,0.00817277598956966,0.054503942873266154,0.23534464108110156
GO:0000159:protein phosphatase type 2A complex,PPP2CA,-0.322378107379288,-0.113797927976739,0.0537061662434508,0.007052501213184,0.175861492932495,0.785456790356863,0.0197986183199734,0.31134821080482,1.0
GO:0000164:protein phosphatase type 1 complex,"PPP1R3A, PPP1R3F",-5.954083844652685,-5.003506789891135,-5.658584165665001,0.13870105122545245,0.019743626530112152,0.26394675522756117,0.247821686861837,0.04108964075147354,0.5096856020520031
GO:0000165:MAPK cascade,"ADRA1A, ADRA2B, AR, BRAF, CAV1, CAV3, CCR5, CD36, CTNNB1, EGFR, EPGN, FGFR1, FGFR3, HSF1, IL31RA, IQGAP1, MAP2K1, MAP3K9, MEF2A, MEF2C, MYC, NF1, NF2, NPR2, P2RX7, PAK1, PLVAP, POU4F2, PTK2B, PTPN3, PTPN7, PTPRC, RCE1, RET, RHBDD3, RIT2, SMAD1, SPAG9, TAOK3",-0.7872410916774081,-0.858292362632644,-0.7819753722452127,0.1101115333580943,0.10911319517991323,0.170954298471606,0.1462146939960037,0.1455786411116335,0.30746802874852763
GO:0000166:nucleotide binding,"ABCA2, ABO, DHRS3, HINT1, LTB4R, NOX4, NT5C3A, NT5E, SLC27A6",-1.1915656687903038,-1.3255037523785846,-1.420606864189092,0.08778697046694678,0.0008490482667074399,0.14659689146324587,0.15037704325984427,0.0020910472195697968,0.31173117923881744
GO:0000170:sphingosine hydroxylase activity,DEGS2,-2.88629826783359,-2.7950094656752,-2.35497814876328,5.78236038073504e-14,1.64116839792489e-39,0.0054573329843437,7.99850162486944e-13,5.507393806105e-38,0.0302706944341922
GO:0000182:rDNA binding,"BNC1, BNC2",0.18326984811013852,-1.249159548872525,-0.4707025690017551,0.13308427688928987,0.008273808965255067,0.604350921507532,0.262930914649037,0.01860256177616548,0.778257753401277
"GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",SMG1,-0.289951355162362,-0.554059998966108,-0.340760210654088,0.0287604134929476,4.94156229182402e-11,0.145303277019634,0.0699940891801792,2.77074247212125e-10,0.394374406015672
GO:0000209:protein polyubiquitination,"AMFR, BCL2, BFAR, CTNNB1, FBXL17, HUWE1, LNPEP, MUL1, NPEPPS, PEX10, PRAME, RC3H2, RNF144A, RNF144B, RNF167, RNF180, RNF183, RNF19A, RNF19B, RNF217, UBE2J1",-0.26196331902949105,-0.13118884766619493,0.4645907242624474,0.056264617513289004,0.11071987978581688,0.07126486330891281,0.07772846382374857,0.14369371026096575,0.17660430248119227
GO:0000210:NAD+ diphosphatase activity,ENPP5,-3.42463218389223,-2.81039784845648,-1.87945033146335,1.24721603672056e-24,1.18322442145352e-32,0.000657804835186,5.95556335753558e-23,2.7542560792039702e-31,0.0053356237744079
GO:0000212:meiotic spindle organization,MYH9,-0.598723673035274,-0.790388224559224,-0.885357319639302,0.0133359430546834,9.008198172866971e-09,0.0149531931455886,0.0351439024753761,4.19237513931333e-08,0.0675893055603303
GO:0000215:tRNA 2'-phosphotransferase activity,NT5C3A,0.237086104222315,0.409756427391114,0.406093931140389,0.0806750856977023,8.83388004339999e-05,0.103587618807236,0.17365849303813,0.0002771046072331,0.307079422968852
"GO:0000220:vacuolar proton-transporting V-type ATPase, V0 domain","ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0E2, RNASEK, TCIRG1",-0.5975854728511278,-0.21203610118881983,-0.30284278610407367,0.0915076160242409,0.0014135136550395982,0.04313850569125761,0.1537498017063924,0.003400052177713291,0.1249207681456958
"GO:0000221:vacuolar proton-transporting V-type ATPase, V1 domain",ATP6V1C1,-0.796028352728116,-0.141215850698038,0.0663013694187133,1.11225112882568e-06,0.200719878728655,0.797215559536089,5.9373643001526e-06,0.349085650883168,1.0
GO:0000225:N-acetylglucosaminylphosphatidylinositol deacetylase activity,PIGL,-0.139945695041543,-0.181513218347078,-0.592848402296754,0.315917142866447,0.0613154532162723,0.0356784839628668,0.55291200329778,0.122352299543154,0.13424381610072
GO:0000226:microtubule cytoskeleton organization,"CDK5R1, EML2, GAPDH, MAP4, OBSL1, PHLDB2, RHO, RNF19A",-0.7273571081100159,-0.5591875893248832,-0.6707593021233796,0.030916842126275535,0.09822552187811039,0.09263097176149807,0.055135476034022725,0.10898416981315487,0.21815710178740227
GO:0000228:nuclear chromosome,"HMGA2, HNRNPU, JUN, SPO11",-0.012707540573269921,-0.04661855617034963,-0.180698664081287,0.5847076748536032,0.6087864968737369,0.5432564661500703,0.7288105587006671,0.7418012308008314,0.6931293631691176
GO:0000242:pericentriolar material,LCK,-1.22001414763882,-0.443811255505806,-0.815018375606693,0.0088717880097966,0.123359432807691,0.31202275166506,0.0243662890958973,0.227412099093785,0.69084735722967
GO:0000246:delta24(24-1) sterol reductase activity,DHCR24,-1.45448257568861,-1.33516299169121,-0.965507210909118,0.0002261951210757,4.78479257386467e-08,0.191788721981657,0.0008408705250789,2.08698081037111e-07,0.486498039345202
GO:0000247:C-8 sterol isomerase activity,"EBP, SREBF2",0.380243827835504,0.22068315295713506,-0.12874469915550169,0.22509416179425326,0.45350988424503225,0.18919884438928947,0.3889923837061568,0.6431777138291578,0.4369046484740657
GO:0000248:C-5 sterol desaturase activity,"FADS1, SC5D",-0.9956437936638253,-1.0859262755692132,-0.6815013720915658,0.0002745275497634299,0.00010893696621476667,0.02219557061366623,0.0009261008307676948,0.00031800174901589997,0.08127130867682186
GO:0000253:3-keto sterol reductase activity,"HSD17B7, HSD3B1",0.16007461152604952,-0.5110101212905843,-0.8953587200119018,0.47985708182977527,0.004258249401330421,0.5530378700209243,0.6670820641398273,0.010400052742512265,0.8056469263376135
GO:0000254:C-4 methylsterol oxidase activity,"CH25H, FAXDC2, MSMO1",-2.018086236931965,-1.2610693864331113,-1.6142057235615037,2.131735181345997e-05,1.802554673981966e-05,0.021142641128943603,8.94808958302767e-05,5.8023403239223625e-05,0.08471458412081483
GO:0000255:allantoin metabolic process,ADA,-0.358237823683702,-0.325943763622886,-0.715053592944233,0.134513360414218,0.04930664289759,0.0596816343506886,0.270126153112094,0.100503596021025,0.200326419874877
GO:0000266:mitochondrial fission,"COX10, FIS1, GDAP1, MFF, MIEF1, MUL1",0.03486494485981479,0.1941805600675509,0.3815818385584169,0.09379041412830857,0.09835095812848044,0.17134172259035904,0.11123393002757671,0.1284302797154194,0.39985051633762253
GO:0000271:polysaccharide biosynthetic process,"EXT1, EXT2, FUT9",-0.14412599925358402,-0.44017617637206435,-0.10429135822916086,0.3120063697144612,0.11150874425717977,0.45619833906640356,0.4696731199452206,0.19734452749762912,0.7197403802626964
GO:0000278:mitotic cell cycle,"DCTN1, EDNRA, HGF, JTB, MYB, MYBL1, MYBL2, PBK, PPP2CA, STAT5B, TTYH1",0.43446967666138686,0.42563286679851103,0.3753053706079277,0.17298074779625933,0.2210200621411797,0.2199270869080995,0.24188909681876405,0.2706694012706609,0.37966214586802527
GO:0000281:mitotic cytokinesis,"CEP55, JTB, SNX9",1.2484732911521514,1.048760656216728,1.195955252941601,0.37257172068448396,0.1411397247226036,0.25734805109353115,0.4000000000106648,0.22712097483925606,0.40026939794263316
GO:0000287:magnesium ion binding,"ADCY10, ADCY2, ALPP, ATP10A, ATP10B, ATP10D, ATP11A, ATP11B, ATP11C, ATP4A, ATP8A1, ATP8A2, ATP8B1, ATP8B2, ATP8B3, ATP8B4, ATP9A, ATP9B, COMT, ERN1, EXTL3, FOXK2, GNAI1, ILVBL, IRAK4, ITGB1, MAST2, NT5C3A, PKM, PLSCR1, RHEB, SNCA, SRR, TREX1, TSSK6, XXYLT1",-0.8260620578056433,-0.4838393235835219,-0.4358491808375726,0.11935214697943632,0.12784096028099637,0.1863586662752467,0.17034071257133115,0.1774959677262064,0.36421204841442023
