GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0000118:histone deacetylase complex,"HDAC11, HINT1, MTA2, RCOR2, RCOR3, RERE, SATB2, TRERF1, ZNF217, ZNF541",-0.10537243,-0.4230744,-0.406238522,0.051823073,0.018288619,0.062740026,0.10449619,0.034011711,0.170433637
GO:0000122:negative regulation of transcription by RNA polymerase II,"ACVR2B, ALX1, AR, ARID4A, ARID4B, ARID5A, ARID5B, ARX, ASCL1, ASCL3, ATF3, ATF4, BACH1, BACH2, BARX2, BATF3, BCL11A, BCL6, BCL6B, BHLHE41, BMP2, CALR, CAV1, CD36, CDX2, CDX4, CEBPA, CEBPB, CNOT1, CREB3L1, CREM, CTCF, CTNNB1, CUX1, CUX2, DDIT3, DEAF1, DLL4, DLX1, DLX2, DLX4, DMBX1, DMRT1, DNAJB4, E2F1, E2F6, E2F7, E2F8, E4F1, EDNRB, EFNA1, EGR1, ELANE, ELK3, ELK4, EN1, EOMES, EPO, ERF, ESR1, ESR2, ESX1, ETS2, ETV3, ETV5, ETV6, ETV7, EZR, FASLG, FERD3L, FEZF1, FEZF2, FGFR1, FGFR2, FOSB, FOXA1, FOXC1, FOXC2, FOXD3, FOXE1, FOXF1, FOXG1, FOXH1, FOXJ1, FOXK1, FOXK2, FOXL2, FOXM1, FOXO1, FOXO3, FOXP1, FOXP2, FOXP3, FOXP4, FOXQ1, FOXR1, FOXS1, GABPA, GATA1, GATA2, GATA3, GATA4, GATA5, GATA6, GATAD2A, GATAD2B, GFI1, GFI1B, GLI2, GLI3, GLIS1, GLIS2, GLIS3, GSC, GZF1, HAND1, HCFC1, HELT, HES1, HES2, HES5, HES6, HES7, HESX1, HEY1, HEY2, HEYL, HHEX, HIC1, HIC2, HINFP, HIVEP1, HMBOX1, HMG20A, HMGA2, HMX1, HNF1B, HNRNPU, HOPX, HOXA2, HOXA7, HOXB13, HOXB3, HOXB4, HOXB8, HOXC8, HOXD8, HOXD9, HSF1, HSF4, ID1, ID2, ID3, ID4, IFI27, IKZF5, INSM1, INSM2, IRF2, IRF3, IRF7, IRF8, IRX1, IRX2, IRX3, IRX4, ISL1, JDP2, JPH2, JUN, JUND, KLF10, KLF11, KLF12, KLF16, KLF2, KLF3, KLF4, KLF5, KLF7, KLF8, LEF1, LOXL2, LRRFIP1, LYAR, MAEL, MAF, MAFB, MAFF, MAFG, MAFK, MAGEA1, MAGEA12, MAGEA2, MAGEA2B, MAGEA3, MAGEA4, MAGEA6, MAGEA8, MAGEA9, MAGEA9B, MAGEB5, MAGEB6, MAGEC2, MAGED1, MAX, MAZ, MEF2A, MEF2C, MEIS2, MIER1, MIER2, MITF, MLX, MLXIPL, MMP12, MNT, MNX1, MOSPD1, MSC, MSX1, MSX2, MTA1, MTA2, MTA3, MTDH, MXD1, MXD3, MXD4, MXI1, MYB, MYC, MYT1L, MZF1, NANOG, NCOA2, NEUROG3, NFATC2, NFATC3, NFATC4, NFE2L3, NFIC, NFIL3, NFIX, NFKB1, NFX1, NOTCH1, NOTCH2, NOTCH3, NOTCH4, NPAS1, NR0B1, NR0B2, NR1D1, NR1D2, NR1H2, NR1H3, NR1H4, NR1I2, NR1I3, NR2C1, NR2C2, NR2E1, NR2E3, NR2F1, NR2F2, NR2F6, NR3C1, NR4A2, NR4A3, NR6A1, OGT, OLIG2, OLIG3, OSR1, OSR2, OTP, OVOL1, OVOL2, PATZ1, PAX5, PAX6, PDX1, PEG3, PLAGL1, POU1F1, POU4F1, POU4F2, POU5F1, POU6F1, PPARA, PPARD, PPARG, PPP1R13L, PROP1, PROX1, PRRX1, PSEN1, PTCH1, PTPN2, PURA, PURB, RARA, RARB, RARG, RBPJ, RELA, REST, RFX5, RORC, RREB1, RUNX1, RUNX3, RXRA, SALL1, SALL4, SATB1, SATB2, SCRT1, SCRT2, SEMA4D, SHH, SHOX2, SIM2, SIX1, SMAD3, SMAD4, SMAD5, SMAD7, SMO, SNAI1, SNAI2, SNAI3, SNCA, SOX1, SOX10, SOX11, SOX12, SOX13, SOX14, SOX15, SOX18, SOX2, SOX21, SOX3, SOX30, SOX4, SOX8, SOX9, SP2, SP3, SP5, SPDEF, SPI1, SREBF1, SREBF2, SRY, SSX1, STAT1, STAT3, STAT6, TAL1, TBX15, TBX18, TBX2, TBX20, TBX21, TBX22, TBX3, TBX6, TCF21, TCF23, TCF25, TCF3, TCF7L2, TCFL5, TENM2, TFAP2A, TFAP2B, TFAP2C, TFCP2L1, TFEC, TGFB1, TGIF1, TGIF2, THAP1, THAP11, THAP5, THAP7, THRA, THRB, TMPRSS6, TNF, TNFSF11, TP53, TP63, TRPS1, TRPV1, TRPV4, TSC22D4, TWIST1, VAX1, VAX2, VDR, VSX2, WFS1, WT1, WWC1, YBX1, YBX3, ZBED2, ZBED6, ZBTB1, ZBTB12, ZBTB14, ZBTB16, ZBTB17, ZBTB18, ZBTB2, ZBTB20, ZBTB21, ZBTB25, ZBTB26, ZBTB32, ZBTB33, ZBTB34, ZBTB37, ZBTB39, ZBTB42, ZBTB45, ZBTB46, ZBTB49, ZBTB5, ZBTB6, ZBTB7A, ZBTB7B, ZC3H8, ZEB1, ZEB2, ZFHX3, ZFP90, ZFPM1, ZFPM2, ZGLP1, ZGPAT, ZHX1, ZHX2, ZKSCAN3, ZNF131, ZNF133, ZNF134, ZNF136, ZNF140, ZNF141, ZNF148, ZNF174, ZNF175, ZNF177, ZNF202, ZNF205, ZNF217, ZNF219, ZNF224, ZNF239, ZNF254, ZNF263, ZNF268, ZNF274, ZNF281, ZNF296, ZNF304, ZNF345, ZNF350, ZNF354B, ZNF354C, ZNF366, ZNF431, ZNF469, ZNF512B, ZNF536, ZNF568, ZNF572, ZNF653, ZNF668, ZNF675, ZNF692, ZNF746, ZNF8, ZNF85, ZNF91, ZNF93",-0.331963063,-0.338858479,-0.150045596,0.099658048,0.097044271,0.186713576,0.147998245,0.133477263,0.320070572
GO:0000123:histone acetyltransferase complex,"HCFC1, OGT",0.731386417,0.254349137,0.06500317,0.077296462,0.000860359,0.000755647,0.152104366,0.00227903,0.005282707
GO:0000124:SAGA complex,TADA2A,0.610347506,0.844445193,0.398242091,2.85E-06,1.58E-16,0.035194877,1.44E-05,1.33E-15,0.132935724
GO:0000132:establishment of mitotic spindle orientation,"DCTN1, GJA1, ITGB1, MAPRE1, PAX6, PKHD1",-0.834657652,-0.654895949,-0.772669126,1.46E-05,1.78E-06,0.012638162,5.97E-05,6.13E-06,0.049079079
GO:0000137:Golgi cis cisterna,"GOLT1A, SMPD3, TMEM59",-1.024993721,-0.637426905,-0.331021323,8.81E-09,5.29E-20,0.004094133,5.98E-08,5.48E-19,0.021128192
GO:0000138:Golgi trans cisterna,"B4GALT1, SGMS1, TMEM59, YIPF1, YIPF2, YIPF6",-1.082133676,-0.822255042,-0.570456738,0.125364376,0.043711406,0.09567094,0.167176279,0.07393079,0.179826658
GO:0000139:Golgi membrane,"A4GALT, A4GNT, ABCA12, ABCA5, ABCA6, ABCA7, ABCB11, ABCB6, ABCG1, ABO, ACER3, ADAM10, ADAM17, AGPAT3, AGTRAP, AP3D1, APH1A, APH1B, ATF6, ATF6B, ATG9A, ATG9B, ATP2C1, ATP2C2, ATP6AP1, ATP6AP2, ATP6V0A2, ATP6V0B, ATP6V0C, ATP7B, ATP8A2, B2M, B3GALNT2, B3GALT1, B3GALT2, B3GALT6, B3GAT3, B3GNT2, B3GNT3, B3GNT5, B4GALNT1, B4GALNT2, B4GALT1, B4GALT3, B4GALT5, B4GALT6, B4GALT7, BCAP31, BET1, BET1L, BSG, C6orf89, CASD1, CAV1, CAV2, CAV3, CD1E, CD55, CD59, CD74, CHST1, CHST10, CHST11, CHST12, CHST15, CHST2, CHST3, CHST7, CHSY3, CLCC1, CLCN3, CLCN5, CLN3, CLSTN1, CLSTN2, CLSTN3, CNIH1, CREB3, CREB3L3, CREB3L4, CSGALNACT1, CSPG5, CYTH1, DHCR24, DRD2, DSE, ECE2, EGFR, EMP2, ENTPD4, ENTPD6, ERGIC3, EXT1, EXT2, FAM20B, FKRP, FKTN, FNDC3A, FOLR1, FURIN, FUT1, FUT2, FUT4, FUT5, FUT6, FUT8, FUT9, FZD5, GAL3ST1, GALNT1, GALNT10, GALNT11, GALNT12, GALNT13, GALNT14, GALNT16, GALNT18, GALNT3, GALNT5, GALNT6, GALNT8, GALNT9, GBA2, GCNT1, GCNT2, GIMAP1, GJA1, GLCE, GLG1, GNPTAB, GOLGB1, GOLIM4, GOLT1A, GOLT1B, GOSR1, GOSR2, GPER1, GPR108, GPR89A, GRM6, HAS2, HAS3, HHAT, HLA-A, HLA-B, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DQB2, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, HS3ST3B1, HS6ST1, HUWE1, HYAL2, IER3IP1, IFNGR2, IGF2R, IHH, IL15RA, IL17RD, ITM2B, KDELR1, KDELR2, KDELR3, KIAA0319L, LDLRAD4, LEPROT, LFNG, LITAF, LMAN1, LMAN1L, LMAN2, LMTK3, LPCAT1, LPCAT2, LST1, MALL, MAN1A1, MAN1A2, MAN1C1, MAN2A1, MANEA, MBTPS2, MGAT1, MGAT4B, MGAT5, MGAT5B, MMD2, MOSPD1, MPHOSPH9, MR1, NCAM1, NCSTN, NDFIP1, NDFIP2, NDST1, NDST2, NIPAL1, NOS3, NOTCH1, NOTCH2, NOTCH3, NOTCH4, OTOF, PANX2, PAQR3, PARM1, PCSK5, PCSK7, PDGFC, PDGFD, PGAP2, PGAP3, PKD1, PLD3, PMEPA1, POMGNT1, PROS1, PSEN1, PSEN2, PSENEN, QPCTL, QSOX1, QSOX2, RAB14, RAB33A, RER1, RFNG, RHBDF1, RHEB, RHO, RIC3, RNASEK, RNF121, RNF175, RNF24, RTN1, SAMD8, SCAMP5, SCAP, SCARA3, SCARB2, SEC22B, SERINC3, SGMS1, SGMS2, SHH, SLC16A13, SLC2A1, SLC30A10, SLC30A5, SLC30A7, SLC33A1, SLC35A1, SLC35A2, SLC35A3, SLC35A5, SLC35B3, SLC35B4, SLC35C1, SLC35D2, SLC39A13, SLC9A7, SMPD3, SMPD4, SORL1, SPPL2B, SREBF1, SREBF2, ST3GAL1, ST3GAL2, ST3GAL3, ST3GAL4, ST3GAL5, ST3GAL6, ST6GAL2, ST6GALNAC3, ST6GALNAC6, ST8SIA1, ST8SIA5, STEAP2, STEAP4, STX10, STX16, STX18, STX5, STX6, SURF4, SYS1, SYT4, TAPBP, TAPBPL, TEX261, TLR3, TLR7, TLR8, TMBIM4, TMCO1, TMED10, TMED2, TMED3, TMED7, TMED9, TMEM115, TMEM130, TMEM132A, TMEM165, TMEM167B, TMEM50B, TMEM59, TMEM59L, TMEM87A, TMEM87B, TNFRSF1A, TRAF3IP3, UBIAD1, UGCG, UNC50, UNC93B1, UST, VAMP4, VAPA, VPS13B, VTI1A, WLS, YIF1A, YIF1B, YIPF6, ZDHHC11, ZDHHC12, ZDHHC13, ZDHHC15, ZDHHC17, ZDHHC18, ZDHHC2, ZDHHC20, ZDHHC21, ZDHHC22, ZDHHC23, ZDHHC3, ZDHHC4, ZDHHC7, ZDHHC8",-0.55423514,-0.449268341,-0.323416832,0.083417289,0.106898987,0.209866581,0.131734699,0.144062402,0.357625098
GO:0000140:acylglycerone-phosphate reductase activity,DHRS7B,-0.738639797,-0.579037397,-0.412772626,1.63E-06,1.68E-08,0.164854281,8.46E-06,7.61E-08,0.4331269
GO:0000146:microfilament motor activity,"MYH9, MYO1C",-0.774326808,-0.846360783,-0.848963145,0.010001958,6.76E-09,0.023739437,0.02635793,3.14E-08,0.094300528
GO:0000149:SNARE binding,"GOSR2, GRIK2, KCNB1, SNCA, STX10, STX16, STX17, STX1A, STX1B, STX2, STX3, STX4, STX5, STX6, STX7, SYT1, SYT10, SYT11, SYT12, SYT13, SYT2, SYT3, SYT4, SYT5, SYT6, SYT7, SYT8, SYT9, VAMP2, VTI1A, VTI1B",-0.490463147,0.057367085,0.274097032,0.130792621,0.135270442,0.184661754,0.208122094,0.177253583,0.359810766
GO:0000151:ubiquitin ligase complex,"AMFR, GPR37, MAVS, RNF144A, RNF144B, RNF19A, RNF19B, RNF217, UBR2, UBXN8, WWP1",-1.309700594,-1.108232995,-0.773920136,0.003313468,0.032026088,0.142623118,0.008172776,0.054503943,0.235344641
GO:0000159:protein phosphatase type 2A complex,PPP2CA,-0.322378107,-0.113797928,0.053706166,0.007052501,0.175861493,0.78545679,0.019798618,0.311348211,1
GO:0000164:protein phosphatase type 1 complex,"PPP1R3A, PPP1R3F",-5.954083845,-5.00350679,-5.658584166,0.138701051,0.019743627,0.263946755,0.247821687,0.041089641,0.509685602
GO:0000165:MAPK cascade,"ADRA1A, ADRA2B, AR, BRAF, CAV1, CAV3, CCR5, CD36, CTNNB1, EGFR, EPGN, FGFR1, FGFR3, HSF1, IL31RA, IQGAP1, MAP2K1, MAP3K9, MEF2A, MEF2C, MYC, NF1, NF2, NPR2, P2RX7, PAK1, PLVAP, POU4F2, PTK2B, PTPN3, PTPN7, PTPRC, RCE1, RET, RHBDD3, RIT2, SMAD1, SPAG9, TAOK3",-0.787241092,-0.858292363,-0.781975372,0.110111533,0.109113195,0.170954298,0.146214694,0.145578641,0.307468029
GO:0000166:nucleotide binding,"ABCA2, ABO, DHRS3, HINT1, LTB4R, NOX4, NT5C3A, NT5E, SLC27A6",-1.191565669,-1.325503752,-1.420606864,0.08778697,0.000849048,0.146596891,0.150377043,0.002091047,0.311731179
GO:0000170:sphingosine hydroxylase activity,DEGS2,-2.886298268,-2.795009466,-2.354978149,5.78E-14,1.64E-39,0.005457333,8.00E-13,5.51E-38,0.030270694
GO:0000182:rDNA binding,"BNC1, BNC2",0.183269848,-1.249159549,-0.470702569,0.133084277,0.008273809,0.604350922,0.262930915,0.018602562,0.778257753
"GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",SMG1,-0.289951355,-0.554059999,-0.340760211,0.028760413,4.94E-11,0.145303277,0.069994089,2.77E-10,0.394374406
GO:0000209:protein polyubiquitination,"AMFR, BCL2, BFAR, CTNNB1, FBXL17, HUWE1, LNPEP, MUL1, NPEPPS, PEX10, PRAME, RC3H2, RNF144A, RNF144B, RNF167, RNF180, RNF183, RNF19A, RNF19B, RNF217, UBE2J1",-0.261963319,-0.131188848,0.464590724,0.056264618,0.11071988,0.071264863,0.077728464,0.14369371,0.176604302
GO:0000210:NAD+ diphosphatase activity,ENPP5,-3.424632184,-2.810397848,-1.879450331,1.25E-24,1.18E-32,0.000657805,5.96E-23,2.75E-31,0.005335624
GO:0000212:meiotic spindle organization,MYH9,-0.598723673,-0.790388225,-0.88535732,0.013335943,9.01E-09,0.014953193,0.035143902,4.19E-08,0.067589306
GO:0000215:tRNA 2'-phosphotransferase activity,NT5C3A,0.237086104,0.409756427,0.406093931,0.080675086,8.83E-05,0.103587619,0.173658493,0.000277105,0.307079423
"GO:0000220:vacuolar proton-transporting V-type ATPase, V0 domain","ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0E2, RNASEK, TCIRG1",-0.597585473,-0.212036101,-0.302842786,0.091507616,0.001413514,0.043138506,0.153749802,0.003400052,0.124920768
"GO:0000221:vacuolar proton-transporting V-type ATPase, V1 domain",ATP6V1C1,-0.796028353,-0.141215851,0.066301369,1.11E-06,0.200719879,0.79721556,5.94E-06,0.349085651,1
GO:0000225:N-acetylglucosaminylphosphatidylinositol deacetylase activity,PIGL,-0.139945695,-0.181513218,-0.592848402,0.315917143,0.061315453,0.035678484,0.552912003,0.1223523,0.134243816
GO:0000226:microtubule cytoskeleton organization,"CDK5R1, EML2, GAPDH, MAP4, OBSL1, PHLDB2, RHO, RNF19A",-0.727357108,-0.559187589,-0.670759302,0.030916842,0.098225522,0.092630972,0.055135476,0.10898417,0.218157102
GO:0000228:nuclear chromosome,"HMGA2, HNRNPU, JUN, SPO11",-0.012707541,-0.046618556,-0.180698664,0.584707675,0.608786497,0.543256466,0.728810559,0.741801231,0.693129363
GO:0000242:pericentriolar material,LCK,-1.220014148,-0.443811256,-0.815018376,0.008871788,0.123359433,0.312022752,0.024366289,0.227412099,0.690847357
GO:0000246:delta24(24-1) sterol reductase activity,DHCR24,-1.454482576,-1.335162992,-0.965507211,0.000226195,4.78E-08,0.191788722,0.000840871,2.09E-07,0.486498039
GO:0000247:C-8 sterol isomerase activity,"EBP, SREBF2",0.380243828,0.220683153,-0.128744699,0.225094162,0.453509884,0.189198844,0.388992384,0.643177714,0.436904648
GO:0000248:C-5 sterol desaturase activity,"FADS1, SC5D",-0.995643794,-1.085926276,-0.681501372,0.000274528,0.000108937,0.022195571,0.000926101,0.000318002,0.081271309
GO:0000253:3-keto sterol reductase activity,"HSD17B7, HSD3B1",0.160074612,-0.511010121,-0.89535872,0.479857082,0.004258249,0.55303787,0.667082064,0.010400053,0.805646926
GO:0000254:C-4 methylsterol oxidase activity,"CH25H, FAXDC2, MSMO1",-2.018086237,-1.261069386,-1.614205724,2.13E-05,1.80E-05,0.021142641,8.95E-05,5.80E-05,0.084714584
GO:0000255:allantoin metabolic process,ADA,-0.358237824,-0.325943764,-0.715053593,0.13451336,0.049306643,0.059681634,0.270126153,0.100503596,0.20032642
GO:0000266:mitochondrial fission,"COX10, FIS1, GDAP1, MFF, MIEF1, MUL1",0.034864945,0.19418056,0.381581839,0.093790414,0.098350958,0.171341723,0.11123393,0.12843028,0.399850516
GO:0000271:polysaccharide biosynthetic process,"EXT1, EXT2, FUT9",-0.144125999,-0.440176176,-0.104291358,0.31200637,0.111508744,0.456198339,0.46967312,0.197344527,0.71974038
GO:0000278:mitotic cell cycle,"DCTN1, EDNRA, HGF, JTB, MYB, MYBL1, MYBL2, PBK, PPP2CA, STAT5B, TTYH1",0.434469677,0.425632867,0.375305371,0.172980748,0.221020062,0.219927087,0.241889097,0.270669401,0.379662146
GO:0000281:mitotic cytokinesis,"CEP55, JTB, SNX9",1.248473291,1.048760656,1.195955253,0.372571721,0.141139725,0.257348051,0.4,0.227120975,0.400269398
GO:0000287:magnesium ion binding,"ADCY10, ADCY2, ALPP, ATP10A, ATP10B, ATP10D, ATP11A, ATP11B, ATP11C, ATP4A, ATP8A1, ATP8A2, ATP8B1, ATP8B2, ATP8B3, ATP8B4, ATP9A, ATP9B, COMT, ERN1, EXTL3, FOXK2, GNAI1, ILVBL, IRAK4, ITGB1, MAST2, NT5C3A, PKM, PLSCR1, RHEB, SNCA, SRR, TREX1, TSSK6, XXYLT1",-0.826062058,-0.483839324,-0.435849181,0.119352147,0.12784096,0.186358666,0.170340713,0.177495968,0.364212048
"GO:0000288:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","CNOT1, RC3H2",0.369740509,0.091354798,0.456052068,0.000811967,0.300254747,0.013367236,0.002632209,0.437950161,0.057797408
GO:0000289:nuclear-transcribed mRNA poly(A) tail shortening,"CNOT1, CNOT4",0.326430752,0.18301832,0.46935888,0.00924895,0.299229291,0.016606886,0.02367405,0.43526505,0.067932636
GO:0000296:spermine transport,SLC18B1,-1.650224067,-1.424940305,-0.647038788,3.91E-11,6.48E-19,0.045858929,3.81E-10,6.42E-18,0.16268223
GO:0000302:response to reactive oxygen species,"APOE, COL6A1, HIF1A, HYAL2, PTPRN",-0.036341312,0.085491027,0.240524358,0.191085367,0.021140358,0.408910563,0.278985841,0.040565955,0.656785961
GO:0000307:cyclin-dependent protein kinase holoenzyme complex,CDK5R1,2.107775116,1.925148986,2.559363929,8.14E-08,7.01E-13,3.99E-05,5.16E-07,4.55E-12,0.000510596
GO:0000322:storage vacuole,STX4,-0.958500585,-0.517416056,-0.568231398,1.33E-13,7.51E-06,0.002392171,1.77E-12,2.65E-05,0.01547779
"GO:0000380:alternative mRNA splicing, via spliceosome","HNRNPM, HNRNPU",0.653952787,0.374504238,0.319075193,2.00E-06,0.00011503,0.056855212,9.83E-06,0.000342098,0.192641312
"GO:0000381:regulation of alternative mRNA splicing, via spliceosome","HNRNPU, MYOD1, REST, ZBTB7A",-1.425433179,-2.546901997,-2.408935078,0.001119667,5.75E-05,0.025426046,0.003270119,0.000171038,0.090733018
GO:0000389:mRNA 3'-splice site recognition,SF3A1,0.440550353,0.537558814,0.861539708,6.11E-08,1.19E-17,1.07E-08,3.93E-07,1.08E-16,3.90E-07
"GO:0000398:mRNA splicing, via spliceosome","CDC5L, HNRNPM, HNRNPU, SF3A1",0.427838567,0.373690757,0.605053015,0.004564433,0.007716126,0.013305883,0.012358331,0.017297809,0.047504192
GO:0000407:phagophore assembly site,"ATG9A, ATG9B, VMP1",0.507650042,0.645211753,0.393635565,0.181978478,0.198580109,0.25950078,0.315827215,0.316229431,0.557820027
GO:0000421:autophagosome membrane,"ATG9A, ATP13A2, ATP6AP2, ENTPD4, LAMP1, LAMP2, MCOLN3, PRKD1, STX17, TEX264, TMEM74, VMP1, WDR81",-0.941679786,-0.812541076,-0.549641407,0.034087911,0.042187495,0.140976229,0.064847692,0.065426081,0.278574689
GO:0000422:autophagy of mitochondrion,"ATG9A, ATG9B, BNIP3, CISD2, FIS1, USP30",0.246066841,0.349896821,0.376896148,0.04446365,0.016793728,0.149515968,0.076368917,0.031953853,0.34693146
GO:0000423:mitophagy,"CTSK, LRBA, OGT, TP53",0.378862658,-0.291881168,0.168251211,0.047574167,0.353504705,0.246516202,0.098908818,0.413229423,0.388165244
GO:0000425:pexophagy,"ACBD5, PEX2, USP30",-0.54421733,-0.509639832,-0.306613826,1.41E-07,2.20E-12,0.012055985,8.04E-07,1.33E-11,0.052901227
GO:0000430:regulation of transcription from RNA polymerase II promoter by glucose,"USF1, USF2",-0.161097047,-0.123300503,-0.307319381,0.356240495,0.449139702,0.179722436,0.50607342,0.502649368,0.457740991
GO:0000432:positive regulation of transcription from RNA polymerase II promoter by glucose,"FOXA2, MLXIPL, OGT, USF1, USF2",-0.907016107,-1.304503034,-1.015193328,0.262795404,0.256952252,0.16897453,0.399644221,0.288038926,0.388051193
